Questions,Options
I can see myself working here in five years,LIKERT
I have a clear understanding of my company’s strategic goals,LIKERT
I can easily see how my work affects the company’s overall success,LIKERT
I always know what is expected of me when it comes to my goals and objectives,LIKERT
It really feels like everyone is on the same team at my company,LIKERT
My manager recognizes my full potential and capitalizes on my strengths,LIKERT
I always want to give my best whenever I’m at work,LIKERT
I’m proud to be part of this company,LIKERT
I always recommend my company to others,LIKERT
The leaders of my company really know what they’re doing,LIKERT
I believe in my company’s mission,LIKERT
I believe in the approach my leaders take to reach our objectives,LIKERT
I am proud to work for this Company,LIKERT
I would recommend this Company as a great place to work,LIKERT
I rarely think about looking for a job at another company,LIKERT
I see myself still working at this company in two years’ time,LIKERT
This company motivates me to go beyond what I would in a similar role elsewhere,LIKERT
The leaders at this company keep people informed about what is happening,LIKERT
My manager is a great role model for employees,LIKERT
The leaders at this company have communicated a vision that motivates me,LIKERT
I have access to the things I need to do my job well,LIKERT
I have access to the learning and development I need to do my job well,LIKERT
Most of the systems and processes here support us getting our work done effectively,LIKERT
I know what I need to do to be successful in my role,LIKERT
I receive appropriate recognition when I do good work,LIKERT
Day-to-day decisions here demonstrate that quality and improvement are top priorities,LIKERT
My manager (or someone in management) has shown a genuine interest in my career aspirations,LIKERT
I believe there are good career opportunities for me at this company,LIKERT
This is a great company for me to make a contribution to my development,LIKERT
Would you recommend this company to your friends as an employer?,YN
Do you feel excited about coming to work?,YN
Are you proud of working for this company?,YN
Are you satisfied with your current compensation and benefits?,YN
Do you enjoy working with your team?,YN
Do you find your work for this company meaningful?,YN
Does this company's vision and values inspire you?,YN
Do others provide you with recognition for your accomplishments at work?,YN
Do you feel like your supervisor is invested in your success?,YN
Does this company's culture foster a comfortable supportive work environment?,YN
Is leadership invested in and contributing to your culture initiatives?,YN
Do you see yourself working here in a year?,YN
Does your work challenge you and aid your development?,YN
Do you see a path for career advancement at the company?,YN
Do you have the tools needed to maximize your potential here?,YN
Have you recently thought about leaving this company?,YN
Has anyone at the company asked about and expressed support for your career goals?,YN
Do you believe the organization has your best interests in mind when making business decisions?,YN
Are you satisfied with the way your organization has managed both its business and people during this time?,YN
Has your organization maintained adequate communication with all of its employees?,YN
Have you continued to collaborate with your team during this time?,YN
Does your team inspire you to do your best work?,YN
Does your team help you to complete your work?,YN
Do you have the appropriate amount of information to make correct decisions about your work?,YN
When something unexpected comes up in your work do you usually know whom to ask for help?,YN
Do you have a good understanding of your organization’s informal structures and processes?,YN
Do you receive constructive feedback from your manager?,YN
Do you receive timely feedback from your peers?,YN
Does your supervisor recognize your efforts when you perform well?,YN
Do you feel the employee evaluation process is fair?,YN
Does your team participate and encourage you to complete your tasks?,YN
Is there is a strong feeling of teamwork and participation in the organization?,YN
Do your team members contribute to your success?,YN
Are your team members receptive to your suggestions?,YN
Do you see positive career growth in this organization?,YN
Are you provided with the right training when new systems/tools/softwares are introduced?,YN
Do you feel your manager is interested in your progress?,YN
Do you feel your organization is supportive of a healthy work-life balance?,YN
Do you feel the amount of work allotted to you is reasonable?,YN
Do you feel your work causes unwanted tensions in your personal life?,YN
Are you able to give a fair amount of time to your family?,YN
Is your manager professional and cordial while communicating with you?,YN
Are you satisfied with the organization’s policies on rewards and recognition?,YN
Do you feel favoritism isn’t an issue in the organization?,YN
Do you feel leadership in the organization treats all employees equally?,YN
Do you feel employees receive effective communication about the changes in policies and procedures?,YN
Do you feel that communication is a two-way process in this organization?,YN
Do you think your manager/peers communicate information with clarity?,YN
Do you think top level management delivers their message with utmost transparency?,YN
I am proud to work here,LIKERT
I feel happy at work,LIKERT
I would recommend this company as a good place to work,LIKERT
I feel motivated by my role/workplace,LIKERT
I feel aligned with the company goals,LIKERT
I believe in our leadership’s approach to achieving these goals,LIKERT
I understand how my role relates to the company’s success,LIKERT
I know what is expected of me,LIKERT
I have access to the resources/information I need to do my job well,LIKERT
I have enough time to do my job well,LIKERT
My work is well recognized,LIKERT
I feel inspired to do my best,LIKERT
I feel heard and valued by my manager,LIKERT
I trust my colleagues and the people on my team,LIKERT
I enjoy working with my team,LIKERT
Management/leadership show a genuine interest in my career goals,LIKERT
This is a good place for me to develop my career,LIKERT
I see myself working here in two years,LIKERT
I have a clear understanding of the next steps in my career here,LIKERT
I am challenged and excited by the work I do here,LIKERT
The demands of my workload are manageable,LIKERT
I’m inspired by the purpose and mission of our organisation,LIKERT
Our organisation does a good job of communicating the goals and strategies set by senior leadership,LIKERT
The overall business goals and strategies set by senior leadership are taking this company in the right direction,LIKERT
I can have well-informed and constructive conversations with my manager about pay,LIKERT
The processes for determining pay in our organisation seem fair and unbiased,LIKERT
"I am fairly rewarded (e.g. pay, promotion, training) for my contributions to this company",LIKERT
I get enough feedback to understand if I’m doing my job well,LIKERT
If I do great work I know that it will be recognised,LIKERT
My coworkers are committed to doing quality work,LIKERT
I see this company as the kind of place where I could make friends,LIKERT
I can count on my co-workers to help out when needed,LIKERT
If I experienced serious misconduct at work I’m confident this company would take action to rectify the situation,LIKERT
People from all backgrounds are treated fairly at this company,LIKERT
Working here I feel that I can live a physically healthy lifestyle,LIKERT
This company really cares about my mental well-being,LIKERT
This company’s values provide a good fit with the things that I consider important in life,LIKERT
I see how my work contributes to positive outcomes for our customers,LIKERT
At work I have the opportunity to use my strengths every day,LIKERT
The work I do is meaningful to me,LIKERT
My manager communicates openly and honestly with me,LIKERT
